Name,Intro,Death,x1,y1,x2,y2,rot,offset,Id
Gyles Rosby,57,39,113.82,716.72,639.23,1098.5,166.5,0,61
Benfred Tallhart,16,37,1075.5,445.49,716.72,1086.2,-18,0,62
Helman Tallhart,55,37,138.06,791.34,716.72,1086.2,157.5,0,63
Jared Frey,59,37,101.54,639.23,716.72,1086.2,175.5,0,64
Falyse Stokeworth,2,36,678.22,106.16,754.51,1075.5,-81,0,65
Aemon Targaryen (son of Maekar I),21,35,1098.5,639.23,791.34,1061.9,4.5,0,66
Donella Hornwood,16,35,1075.5,445.49,791.34,1061.9,-18,0,67
Hoster Tully,71,35,275.28,219.8,791.34,1061.9,49.5,-30,68
Jory Cassel,1,35,639.23,101.54,791.34,1061.9,-85.5,0,69
Stevron Frey,59,35,101.54,639.23,791.34,1061.9,175.5,0,70
Lharys,31,34,924.72,980.2,827,1045.5,49.5,0,71
Jeor Mormont,48,33,306.11,1004.5,861.25,1026.3,126,0,72
Renly Baratheon,15,33,1061.9,408.66,861.25,1026.3,-22.5,0,73
Tanda Stokeworth,2,32,678.22,106.16,893.89,1004.5,-81,0,74
Mohor,31,31,924.72,980.2,924.72,980.2,49.5,0,75
Sandor Clegane,7,31,861.25,173.68,924.72,980.2,-58.5,0,76
Medger Cerwyn,53,30,173.68,861.25,953.55,953.55,148.5,0,77
Rhaegar Frey,19,29,1098.5,560.77,980.2,924.72,-4.5,0,78
Symond Frey,19,29,1098.5,560.77,980.2,924.72,-4.5,0,79
Talbert Serry,29,29,980.2,924.72,980.2,924.72,40.5,0,80
Beric Dondarrion,42,27,521.78,1093.8,1026.3,861.25,99,0,81
Grazdan,27,27,1026.3,861.25,1026.3,861.25,31.5,0,82
Grazdan mo Ullhor,27,27,1026.3,861.25,1026.3,861.25,31.5,0,83
Kraznys mo Nakloz,23,27,1086.2,716.72,1026.3,861.25,13.5,0,84
Styr,7,26,861.25,173.68,1045.5,827,-58.5,0,85
Monford Velaryon,0,25,600,100,1061.9,791.34,-90,0,86
Benjen Stark,5,24,791.34,138.06,1075.5,754.51,-67.5,0,87
Arys Oakheart,57,21,113.82,716.72,1098.5,639.23,166.5,0,88
Cleos Frey,7,21,861.25,173.68,1098.5,639.23,-58.5,0,89
Adrack Humble,20,20,1100,600,1100,600,0,0,90
Dagon Codd,20,20,1100,600,1100,600,0,0,91
